Time (s),ax,ay,az,gx,gy,gz
10.37290067,-1.030050039,-0.8509500623,1.258950114,1.261562467,1.380774975,1.829162478
10.39290067,-1.030050039,-0.8509500623,1.258950114,1.261562467,1.380774975,1.829162478
10.41290067,4.618050098,-6.558000088,0.2250000089,1.024787545,3.722812414,-3.551625013
10.43290067,4.618050098,-6.558000088,0.2250000089,1.024787545,3.722812414,-3.551625013
10.45290067,4.618050098,-6.558000088,0.2250000089,1.024787545,3.722812414,-3.551625013
10.47290067,4.618050098,-6.558000088,0.2250000089,1.024787545,3.722812414,-3.551625013
10.49290067,4.618050098,-6.558000088,0.2250000089,1.024787545,3.722812414,-3.551625013
10.51290067,-7.942950249,-20.40300179,3.978000164,0.02419999987,0.1520749927,1.041562438
10.53290067,-7.942950249,-20.40300179,3.978000164,0.02419999987,0.1520749927,1.041562438
10.55290067,-8.61300087,-5.256000042,-0.1950000077,-0.4621374905,0.1069749966,1.698400021
10.57290067,-8.61300087,-5.256000042,-0.1950000077,-0.4621374905,0.1069749966,1.698400021
10.59290067,-8.61300087,-5.256000042,-0.1950000077,-0.4621374905,0.1069749966,1.698400021
10.61290067,-6.946950436,-1.693950057,3.634050131,-0.4621374905,0.1069749966,1.698400021
10.63290067,-6.946950436,-1.693950057,3.634050131,-0.4621374905,0.1069749966,1.698400021
10.65290067,-4.897950172,-3.45600009,2.15895009,-0.1863124967,0.5165874958,3.310037374
10.67290067,-4.897950172,-3.45600009,2.15895009,-0.1863124967,0.5165874958,3.310037374
10.69290067,-4.897950172,-3.45600009,2.15895009,0.1731124967,0.9327999949,3.128537416
10.71290067,-4.897950172,-3.45600009,2.15895009,0.1731124967,0.9327999949,3.128537416
10.73290067,-4.897950172,-3.45600009,2.15895009,0.1731124967,0.9327999949,3.128537416
10.75290067,6.187950134,-22.18305016,9.454950333,2.146237373,1.509612441,1.865462542
10.77290067,6.187950134,-22.18305016,9.454950333,2.146237373,1.509612441,1.865462542
10.79290067,6.187950134,-22.18305016,9.454950333,2.047650099,3.09787488,-2.885437489
10.81290067,6.187950134,-22.18305016,9.454950333,2.047650099,3.09787488,-2.885437489
10.83290067,6.187950134,-22.18305016,9.454950333,2.047650099,3.09787488,-2.885437489
10.85290067,11.43495083,-6.595950127,-9.693000793,2.047650099,3.09787488,-2.885437489
10.87290067,11.43495083,-6.595950127,-9.693000793,2.047650099,3.09787488,-2.885437489
10.89290067,0.807000041,-12.05295086,-7.510050297,-1.403187513,0.8162000179,-4.435750008
